,Cycle,Joint,Angle_x,Angle_y,Angle_z,Flex_Ext_Angle,subject,avg_flex
166,67.0,l_ankle,21.45129307165488,-17.083086791259305,-3.01492484444765,68.548731379588,1,68.27856999767047
167,68.0,l_ankle,20.841131391662564,-17.125299703455884,-2.985680218673309,69.15541751991171,1,68.89345341095239
168,69.0,l_ankle,20.229645733597017,-17.17902433370223,-2.9155028670346876,69.76690317797726,1,69.5124540457794
169,70.0,l_ankle,19.616348009388023,-17.24646997105248,-2.810701819111853,70.38367644185487,1,70.13689906278222
170,71.0,l_ankle,18.99932154594609,-17.32589036314448,-2.688146771525997,71.00753172841964,1,70.76697862786872
171,72.0,l_ankle,18.374086421018315,-17.410109865592634,-2.57010345016283,71.62593803022456,1,71.39727057238942
172,73.0,l_ankle,17.746012960399195,-17.497558527768458,-2.4759607594152677,72.2505359511751,1,72.03181152403198
173,74.0,l_ankle,17.1195743582701,-17.58384731337973,-2.4141463407262616,72.87697455330418,1,72.66431007177377
174,75.0,l_ankle,16.500494691289166,-17.665845547705782,-2.3816989085619182,73.49952975995366,1,73.28906449897676
175,76.0,l_ankle,15.894168281105225,-17.741640960937783,-2.3677764029349,74.11268499326046,1,73.89899324190766
176,77.0,l_ankle,15.301746130448281,-17.807990632974448,-2.3592360727570294,74.69827832079454,1,74.48337559889868
177,78.0,l_ankle,14.729285099820306,-17.87032092337635,-2.3468650228362247,75.26726381175402,1,75.04537145309007
178,79.0,l_ankle,14.178579024981103,-17.93095821724023,-2.3256603454125995,75.81796988659319,1,75.58471852331127
179,80.0,l_ankle,13.65042246057912,-17.990408484565986,-2.296043826026638,76.34960199066373,1,76.10079646132267
180,81.0,l_ankle,13.144893708674084,-18.04764264427297,-2.263867451342172,76.8619595656916,1,76.59339050656354
181,82.0,l_ankle,12.65939805539204,-18.09922277626105,-2.2364484225318755,77.34062639585083,1,77.05287237740293
182,83.0,l_ankle,12.197303494907047,-18.150039523147004,-2.2177122449846465,77.79924541666726,1,77.482206256984
183,84.0,l_ankle,11.759829171448239,-18.201654957087676,-2.203947720414042,78.23671974012605,1,77.88289208934083
184,85.0,l_ankle,11.34782695145489,-18.254660940759546,-2.1858148827667856,78.65219749978795,1,78.25701418999034
185,86.0,l_ankle,10.960767340292998,-18.30730443899281,-2.150821653312206,79.04608593407268,1,78.610074133676
186,87.0,l_ankle,10.594294296420362,-18.350800901867462,-2.086506667037823,79.40573015482252,1,78.93710947773711
187,88.0,l_ankle,10.248284578211619,-18.38210073092459,-1.9868443015188821,79.74826433336268,1,79.2473218305056
188,89.0,l_ankle,9.921801099277006,-18.399629956372276,-1.8558739427698228,80.07474781229732,1,79.54084155842122
189,90.0,l_ankle,9.615992907715555,-18.409433255551566,-1.713029204377365,80.38403154352734,1,79.81752145664487
190,91.0,l_ankle,9.333054733553384,-18.420786830127014,-1.5935718633475446,80.67379854081231,1,80.07667440946616
